OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,AGENCY NAME,ESTIMATED FUNDING,EXPECTED NUMBER OF AWARDS,GRANTOR CONTACT,AGENCY CONTACT PHONE,AGENCY CONTACT EMAIL,ESTIMATED POST DATE,ESTIMATED APPLICATION DUE DATE,POSTED DATE,CLOSE DATE,LAST UPDATED DATE/TIME,VERSION
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328112"",""FR-MPS-20-002"")",FY20 Magnetic Levitation Technology Deployment Program,DOT-FRA,DOT - Federal Railroad Administration,2000000,2,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov",,support@grants.gov,,,07/15/2020,07/31/2020,07/15/2020 11:53:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320919"",""MP-CPI-20-003"")",Reducing Cardiac Arrest Disparities Through Data Registries Initiative,HHS-OPHS,Office of the Assistant Secretary for Health,,5,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov",,support@grants.gov,,,07/15/2020,08/17/2020,07/15/2020 16:48:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328132"",""80HQTR20NOA01-20LUSTR-B5"")",Lunar Surface Technology Research (LuSTR) Opportunities,NASA-HQ,NASA Headquarters,,10,"Claudia M. Meyer, NASA Space Technology Research Grants Program Exec",,hq-LuSTR@mail.nasa.gov,,,07/15/2020,09/09/2020,07/15/2020 15:19:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=320901"",""MP-CPI-20-005"")",Community-based Approaches to Strengthening Economic Supports for Working Families,HHS-OPHS,Office of the Assistant Secretary for Health,,6,"Grants.gov Contact Center
Phone Number: 1-800-518-4726

Hours of operation are 24 hours a day, 7 days a week. The contact center is closed on federal holidays.
support@grants.gov",,support@grants.gov,,,07/15/2020,08/17/2020,07/15/2020 16:01:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328114"",""RFA-NS-21-002"")",NINDS Morris K. Udall Parkinson's Disease Research Center Without Walls (P20 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,1200000,4,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/15/2020,09/28/2020,07/15/2020 15:21:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328131"",""RFA-NS-21-001"")",NINDS Morris K. Udall Centers of Excellence for Parkinson's Disease Research (P50 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,6750000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/15/2020,09/26/2022,07/15/2020 15:12:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328107"",""OPPE-15"")","Solicitation for Applications to Assist Persistent Poverty Farmers, Ranchers, Agriculture Producers and Communities through Agriculture Resources",USDA-DMOAO,DM-Office of Advocacy and Outreach,4000000,50,"Jacqueline Davis-Slay
Deputy Director
202-720-6350",,CommunityProsperity@usda.gov,,,07/15/2020,08/24/2020,07/15/2020 13:27:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328115"",""OPPE-014"")",Funding Opportunity Announcement: Outreach and Assistance for Socially Disadvantaged Farmers and Ranchers and Veteran Farmers and Ranchers,USDA-DMOAO,DM-Office of Advocacy and Outreach,,50,"Kenya Nicholas
Program Director
202-720-6350",,2501grants@usda.gov,,,07/15/2020,08/26/2020,07/15/2020 13:21:15,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328118"",""GH-BAA-2018-INTELLIGENT-FORECASTING"")",Intelligent Forecasting Addendum,USAID-GS,USAID,225000,3,Intelligent Forecasting team,,forecastingprize@usaid.gov,,,07/14/2020,09/08/2020,07/14/2020 17:51:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328120"",""FR-6400-N-38"")",Choice Neighborhoods Planning Grants NOFA,HUD,Department of Housing and Urban Development,5000000,10,"Choice Neighborhoods
ChoiceNeighborhoods@hud.gov",,ChoiceNeighborhoods@hud.gov,,,07/14/2020,09/14/2020,07/14/2020 18:02:14,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328089"",""DRC-FTIF-FY20-02"")",Improving Fiscal Transparency of Mining Royalties in the DRC,DOS-COD,U.S. Mission to the Democratic Republic of Congo,,1,Jigar Bhatt,,BhattJ@state.gov,,,07/14/2020,08/21/2020,07/14/2020 10:01:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328097"",""PAS-CMR-FY20-07"")",Boosting Frontline Health Workers’ Ability in Responding to COVID-19 - Virtual Awareness and Capacity Building Training Project,DOS-CMR,U.S. Mission to Cameroon,50000,5,"Leanne Cannon
Public Affairs Officer
Phone 237-222201500",,pasgrantsyaounde@state.gov,,,07/14/2020,08/10/2020,07/13/2020 10:49:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328079"",""ED-GRANTS-071420-001"")",Office of Special Education and Rehabilitative Services (OSERS): Office of Special Programs (OSEP): Training and Information for Parents of Children with Disabilities: Parent Training and Information Centers CFDA Number 84.328M,ED,Department of Education,21195248,,"Julius C Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
julius.cotton@ed.gov
Program Manager:
Carmen Sanchez, 
U.S. Department of Education, 
400 Maryland Avenue, SW, room 5162, 
Potomac Center Plaza, 
Washington, DC 20202-5076.  
Telephone:  (202) 245-6595.  Email:  Carmen.Sanchez@ed.gov.",,Carmen.Sanchez@ed.gov,,,07/14/2020,07/20/2020,07/14/2020 10:08:14,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328091"",""PA-20-265"")",PHS 2020-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/14/2020,04/05/2021,07/14/2020 12:08:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328088"",""2021FCAH01"")","NEA Arts & Artifacts International Indemnity Program, FY2021",NEA,National Endowment for the Arts,,,"NEA Web Manager
webmgr@arts.gov",,webmgr@arts.gov,,,07/14/2020,09/14/2020,07/14/2020 09:34:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328099"",""USDA-AMS-TM-MGFSP-G-20-0010"")",Micro-Grants for Food Security Program,USDA-AMS,Agricultural Marketing Service,4800000,10,"Patrick Kelley
Grantor
Phone 202-205-3941",,patrick.kelley@usda.gov,,,07/14/2020,08/17/2020,07/14/2020 13:23:14,Synopsis 6,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328119"",""STI400-20-GR-0003"")","NOFO for Environmental Awareness and Action Campaign, Public Affairs Section, U.S. Embassy, Tajikistan",DOS-TJK,U.S. Mission to Tajikistan,25000,3,"Raima A Mukairshoeva
Grantor
Email: GrantProposalsDushanbe@state.gov or 
Mukairshoevara@state.gov",,GrantProposalsDushanbe@state.gov,,,07/14/2020,08/14/2020,07/15/2020 05:23:15,Synopsis 3,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328122"",""FR-RRD-20-003"")",FY20 Wireless Digital Train Line (WiDTL) for Passenger Trains - Phase III,DOT-FRA,DOT - Federal Railroad Administration,,1,"GrantSolutions Help Desk 
Phone Number: 1.866.577.0771 or 202.401.5282 
Hours of operation are Monday-Friday from 9:00 a.m. to 6:00 p.m. ET
help@grantsolutions.gov",,help@grantsolutions.gov,,,07/14/2020,07/21/2020,07/14/2020 22:11:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328090"",""2021FCAHDOM01"")","NEA Arts & Artifacts Domestic Indemnity Program, FY2021",NEA,National Endowment for the Arts,,,"NEA Web Manager
webmgr@arts.gov",,webmgr@arts.gov,,,07/14/2020,12/14/2020,07/14/2020 10:04:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328103"",""ED-GRANTS-071420-002"")",Office of Elementary and Secondary Education (OESE): Office of Indian Education (OIE): for Indian Education Discretionary Grants Programs: Native American Language (NAL@ED) Program CFDA Number 84.415B,ED,Department of Education,1546986,4,"Julius C Cotton
ED Grants.gov FIND Systems Admin.
Phone 202-245-6288
julius.cotton@ed.gov
Program Manager:
Tanya Tullos, 
U.S. Department of Education, 
400 Maryland Avenue SW, Room 3W234, 
Washington, DC 20202-6335. 
Telephone: (202) 453-6037. Email: NAL@ed.gov.",,NAL@ed.gov,,,07/14/2020,08/28/2020,07/14/2020 10:04:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328105"",""NOAA-NMFS-PRPO-2021-2006563"")",John H. Prescott Marine Mammal Rescue Assistance Grant Program (Prescott Grant Program),DOC,Department of Commerce,4000000,45,"The point of contact is: Lanni Hall, Prescott Grant Program, NOAA/NMFS/Office of Protected Resources (F/PR), 1315 East-West Highway, Room 13623, Silver Spring, MD 20910; Phone: (301) 427-8402; or e-mail at Lanni.Hall@noaa.gov.",,Lanni.Hall@noaa.gov,,,07/14/2020,10/13/2020,07/14/2020 15:07:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328081"",""RFA-DA-21-026"")",Using Human Cell Animal Chimera Brains to Study HIV Latency and Pathology R01 - Clinical Trials Not Allowed,HHS-NIH11,National Institutes of Health,1500000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/13/2020,11/13/2020,07/13/2020 13:45:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328094"",""PA-20-260"")","PHS 2020-2 Omnibus Solicitation of the NIH, CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/13/2020,04/05/2021,07/14/2020 12:29:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328092"",""PA-20-262"")","PHS 2020-2 Omnibus Solicitation of the NIH, CDC, and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Required)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/13/2020,04/05/2021,07/14/2020 12:13:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328093"",""PA-20-261"")",PHS 2020-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/13/2020,04/05/2021,07/14/2020 12:20:14,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328098"",""PAR-20-256"")",Limited Competition Emergency Awards: Shared Personal Protective Equipment Resources for COVID-19 Related Vaccine and Treatment Clinical Trials and Clinical Studies (S10 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,25000000,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/13/2020,07/07/2021,07/13/2020 13:22:13,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328051"",""20-584"")",Research Experiences for Teachers (RET) in Engineering and Computer Science,NSF,National Science Foundation,5800000,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/11/2020,09/30/2020,07/11/2020 01:00:11,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328048"",""RBCS-DHCS-2020"")",Delta Health Care Service Grant Program,USDA-rbcs,Business and Cooperative Programs,6112667,10,"Program Management Division
Phone: (202) 720-1400",,CPGrants@usda.gov,,,07/10/2020,08/24/2020,07/10/2020 14:30:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328064"",""W81XWH-20-RTRP-IIRA"")","DoD Reconstructive Transplant, Investigator- Initiated Research Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,12000000,6,"CDMRP Help Desk
Phone: 301-682-5507
Email: help@eBRAP.org",,help@eBRAP.org,,,07/10/2020,11/12/2020,07/10/2020 15:05:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328049"",""PAR-20-129"")","SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1, Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/10/2020,04/05/2022,07/10/2020 11:59:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328058"",""PAR-20-130"")",SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance and Late Stage Development (SB1 Clinical Trial Required),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/10/2020,04/05/2022,07/10/2020 11:53:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328056"",""FOA-BS-2020-1"")",Brookwood-Sago Mine Safety Grant,DOL-MSHA,Mine Safety and Health Administration,400000,20,"Janice M Oates
Management and Program Analyst
Phone 202-693-9573",,oates.janice@dol.gov,,,07/10/2020,09/09/2020,07/10/2020 12:31:10,Synopsis 8,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328057"",""RFA-DK-20-021"")",Mechanistic Studies of the Interaction between SARS-CoV-2/COVID-19 and Diseases and Organ Systems of Interest to NIDDK (R01 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/10/2020,12/16/2020,07/10/2020 10:40:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328061"",""BJA-2020-18813"")",BJA FY 20 Law Enforcement Training & Technical Assistance Response Center,USDOJ-OJP-BJA,Bureau of Justice Assistance,3000000,1,"For technical assistance with submitting an application, contact the Grants.gov Customer Support Hotline at 8005184726 or 6065455035, at https://www.grants.gov/web/grants/support.html, or at support@grants.gov. The Grants.gov Support Hotline operates 24 hours a day, 7 days a week, except on federal holidays. 
An applicant that experiences unforeseen Grants.gov technical issues beyond its control that prevent it from submitting its application by the deadline must email the contact identified below within 24 hours after the application deadline to request approval to submit its application after the deadline. Additional information on reporting technical issues appears under Experiencing Unforeseen Grants.gov Technical Issues in the How To Apply (Grants.gov) section in the OJP Grant Application Resource Guide. 
For assistance with any unforeseen Grants.gov technical issues beyond an applicants control that prevent it from submitting its application by the deadline, or any other requirement of this solicitation, contact the National Criminal Justice Reference Service (NCJRS) Response Center: toll-free at 8008513420; via TTY at 3012406310 (hearing impaired only); email grants@ncjrs.gov; fax to 3012405830; or web chat at https://webcontact.ncjrs.gov/ncjchat/chat.jsp. 
The NCJRS Response Center hours of operation are 10:00 a.m. to 6:00 p.m. eastern time, Monday through Friday, and 10:00 a.m. to 8:00 p.m. eastern time on the solicitation close date.

support@grants.gov",,support@grants.gov,,,07/10/2020,08/10/2020,07/10/2020 13:40:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328059"",""PAR-20-128"")","SBIR/STTR Commercialization Readiness Pilot (CRP) Program Technical Assistance (SB1, Clinical Trial Not Allowed)",HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/10/2020,04/05/2022,07/10/2020 12:35:10,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328028"",""008-FY2020"")",BOLD GRANTEE MENTORSHIP PROGRAM,DOS-BIH,U.S. Mission to Bosnia and Herzegovina,10000,1,"Samra Alibegic
Administrative Clerk
Phone 0038733704000",,alibegics@state.gov,,,07/09/2020,08/07/2020,07/09/2020 07:47:09,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328055"",""SFOP0007196"")",Western Hemisphere Regional Transnational Crime Assessment and Analysis,DOS-INL,Bureau of International Narcotics-Law Enforcement,920280,3,Tierra Copeland,,,,,07/09/2020,08/08/2020,07/09/2020 19:03:09,Synopsis 4,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328023"",""PD-20-8084"")",Computational and Data-Enabled Science and Engineering,NSF,National Science Foundation,,,"NSF grants.gov support
grantsgovsupport@nsf.gov",,grantsgovsupport@nsf.gov,,,07/08/2020,11/16/2020,07/08/2020 01:00:08,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327958"",""FOA-ETA-20-07"")",Strengthening Community Colleges Training Grants,DOL-ETA,Employment and Training Administration,40000000,16,"Steven A Canger
Grants Management Specialist
Canger.Steven.A@dol.gov",,Canger.Steven.A@dol.gov,,,07/08/2020,10/08/2020,07/08/2020 12:15:08,Synopsis 5,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328038"",""20200826-RA"")",Fellowship Programs at Independent Research Institutions,NEH,National Endowment for the Humanities,1900000,10,"Division of Research Programs
National Endowment for the Humanities
400 Seventh Street, SW
Washington, DC 20506
202-606-8200
fpiri@neh.gov",,fpiri@neh.gov,,,07/08/2020,08/26/2020,07/08/2020 11:28:08,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328011"",""PAR-20-253"")",Countermeasures Against Chemical Threats (CounterACT) Exploratory/Developmental Projects (R21 Clinical Trial Not Allowed),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/07/2020,05/30/2023,07/07/2020 13:44:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328009"",""PAUPDFY20009"")",AMERICAN ENGLISH AND CULTURE CONVERSATION COURSE FOR ADULTS,DOS-JER,U.S. Mission to Jerusalem,,,"Madelyn Mahon
Grantor",,jerusalempdjapplications@state.gov,,,07/07/2020,08/17/2020,07/07/2020 12:14:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328018"",""C-NOFO-20-106"")",Combating Discrimination and Social Injustice through Capacity Building and Policy Reform,DOS-IND,U.S. Mission to India,30000,1,"Grants Application Manager, 
U.S. Consulate, Chennai",,ChennaiPASG@state.gov,,,07/07/2020,07/21/2020,07/07/2020 03:45:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328010"",""N00014-20-S-F006"")",FY2021 VANNEVAR BUSH FACULTY FELLOWSHIP,DOD-ONR,Office of Naval Research,,,"Veronica Lacey
Grant Management Specialist
Veronica.Lacey@navy.mil",,Veronica.Lacey@navy.mil,,,07/07/2020,01/15/2021,07/07/2020 19:33:07,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=328017"",""PA-20-251"")",Ruth L. Kirschstein National Research Service Award (NRSA) Individual Predoctoral Fellowship to Promote Diversity in Health-Related Research (Parent F31-Diversity),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/06/2020,05/07/2023,07/06/2020 11:09:06,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327983"",""RFA-HD-21-020"")",Non-invasive Diagnostics to Improve Gynecologic Health (R43/R44 Clinical Trial Optional),HHS-NIH11,National Institutes of Health,,,"NIH OER Webmaster
FBOWebmaster@OD.NIH.GOV",,FBOWebmaster@OD.NIH.GOV,,,07/02/2020,12/10/2020,07/02/2020 11:35:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327995"",""RBCS-RCDG-2020"")",Rural Cooperative Development Grant,USDA-rbcs,Business and Cooperative Programs,5800000,29,"Program Management Division
(202)720-1400",,CPGrants@wdc.usda.gov,,,07/02/2020,08/03/2020,07/02/2020 08:04:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327949"",""VA-GRANTS-NCA-FY2021-1"")",VETERANS CEMETERY GRANTS,VA-NCA,VA National Cemetery Administration,45000000,20,"George Eisenbach
VCGP Director",,george.eisenbach@va.gov,,,07/02/2020,07/01/2021,07/01/2020 09:38:01,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327985"",""NLG-LIBRARIES-FY21"")",National Leadership Grants for Libraries (2021),IMLS,Institute of Museum and Library Services,9000000,40,"Jill Connors-Joyner, Senior Program Officer, 202-653-4791, jconnors-joyner@imls.gov
Sarah Fuller, Senior Program Officer, 202-653-4783, sfuller@imls.gov
James Neal, Senior Program Officer, 202-653-4740, jneal@imls.gov
Ashley Sands, PhD, Senior Program Officer, 202-653-4730, asands@imls.gov
imls-librarygrants@imls.gov",,imls-librarygrants@imls.gov,,,07/02/2020,10/02/2020,07/02/2020 12:19:02,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327984"",""FOA-WB-20-01"")",Women in Apprenticeship and Nontraditional Occupations (“WANTO”) Technical Assistance Grant Program,DOL-ETA,Employment and Training Administration,4100000,11,"Marc Purvis
Grants Management Specialist",,purvis.marc@dol.gov,,,07/02/2020,08/03/2020,07/06/2020 11:57:06,Synopsis 2,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327976"",""W81XWH-20-PCARP-TRPA"")","DoD Pancreatic Cancer, Translational Research Partnership Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,2400000,2,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,07/01/2020,11/20/2020,07/01/2020 13:56:01,Synopsis 1,
"=HYPERLINK(""https://www.grants.gov/view-opportunity.html?oppId=327978"",""W81XWH-20-PCARP-IDA"")","DoD Pancreatic Cancer, Idea Development Award",DOD-AMRAA,Dept. of the Army -- USAMRAA,2880000,3,"CDMRP Help Desk
Phone:      301-682-5507
Email:       help@eBRAP.org",,help@eBRAP.org,,,07/01/2020,11/20/2020,07/01/2020 14:45:01,Synopsis 1,
